,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,
6716,1080,41,,Absolutely love everything about this dress. unlike many other dresses i've ordered from retailer it fits me in the chest (34c). it's very flattering. love the lace up front and the fabric is like a soft lined linen. can't wait to wear it. i got the s regular. if i was any bigger in the chest or through the ribs tho it would be too small. i almost ordered the medium and was certain i would end up needing a bigger size but the small turned out just right. like it was made for me,5,1,9,General Petite,Dresses,Dresses,
1525,947,79,Sweater love!,"Absolutely love everything about this sweater. i was hesitant to buy because it's so oversized and i was worried it would overwhelm my small frame. but the xs fits great, i love the large knit look and the bell sleeves. pairing with dark denim skinny jeans helped balance out the sweaters oversized shape. wore it work and then to a party and received compliments on it all day.",5,1,1,General,Tops,Sweaters,
17732,1060,54,White openwork wide-legs,"Absolutely love the cut and design of these pants! fit so well and unique pattern at the ankle however, as is the case with many white pants, so disappointed when i tried them on at home and could see my underwear (nude color!) the pants are beautiful in every way except that they need to be lined! going back - may order the black since they're not likely to be ""see through!"" disappointing! was hoping to wear them to a dinner party!",3,1,6,General,Bottoms,Pants,
22347,1072,20,Beautiful,"Absolutely love the design, fabric, and fit of this dress! a perfect dress for many occasions, one of the many reasons i love this company! excellent customer service, employees, and of course adorable clothing. 10/10 would recommend buying this dress! and to all the taller girls, i am 5'11"" and 170lbs and this dress is still a good length! no need to continuously pull down and worry about who might see your rear.",5,1,2,General,Dresses,Dresses,
13878,835,48,Very chic,"Absolutely love the diagonal zipper. it is extremely flattering for the office, and comfortable. a great layering piece with a simple blazer, or alone. looks high quality. my only one minor complaint is that the bottom tends to move away from my body, as the top is wide on the bottom. hence, gives you a lot of leeway in the stomach area. may not be a good thing, or may be a good thing. still, overall, a keeper.",4,1,0,General,Tops,Blouses,
21761,1126,30,So cute!,Absolutely love the jacket! wore it out in nyc at a rooftop bar and many people complimented on it. the faux fur is soft and pink color is beautiful. it is trendy but classy and can be worn dressy or dressed down with boyfriend jeans and booties. perfect transitional jacket from day to night =-),5,1,2,General,Jackets,Outerwear,
22863,1091,34,Sizing and fit are off,"Absolutely love the print and quality is great too! unfortunately, for a well endowed woman like myself, it runs terribly small in the bust and hip region. it absolutely does not look as flowy on an hourglass body type. too bad because it's beautiful! might try sizing up but doubt it will work :(",3,1,28,General Petite,Dresses,Dresses,
12781,215,56,Wonderful cozy feeling,"Absolutely love these leggings - warm, comfortable - great way to relax after a long day? snuggle up in these...do stretch even longer after a while, but wash and wear again is easy - even wear out of the house...bought in green and love how well they go with sweaters, shirts, etc. -",5,1,1,Initmates,Intimate,Legwear,
10045,1037,22,Must have but....,"Absolutely love these pants! i have had these pilcos for about two months now and it has been a staple in my fall wardrobe. i have worn them at least once a week. the only downfall is the button has already fallen off and the seam in the knee has recently torn apart. given the leather, i'm not sure if they can be fixed. these are fabulous, but the quality is just not there. very disappointing.",3,1,1,General,Bottoms,Jeans,
15200,1033,32,Perfect!,Absolutely love these. i ordered them in bronze and i'm thinking about getting the lilac pair as well. they're super comfortable and look great on.,5,1,7,General Petite,Bottoms,Jeans,
548,833,45,Beautiful blouse but....,"Absolutely love this blouse but if your a woman cursed with larger arms for your body size than this is not for you. i couldn't get the lace part of the upper arms past my elbows.

oh well, it's going back!",3,0,0,General,Tops,Blouses,
13120,936,47,Perfect sweater for chilly weather,Absolutely love this cardi! it's perfect with nice jeans and boots or my black pants. i am nearly 6' tall and a medium is plenty long in the sleeve and overall length. it adds warmth but it's breathable so it doesn't give you the super hot effect when going inside. they only reason i gave a 4 in quality is that it is loosely stitched so you can get caught on things :) otherwise it is a great addition to my closet!,5,1,0,General Petite,Tops,Sweaters,
269,1104,29,,Absolutely love this dress! fits true to size and makes anyone look fabulous,5,1,0,General,Dresses,Dresses,
23150,1094,27,Compliments all day long,"Absolutely love this dress! i ended up wearing it backwards to work for a more modest neckline, but flipped it around for an evening night out. can't recommend it enough - two of my colleagues ordered it that day.",5,1,0,General,Dresses,Dresses,
4357,1078,34,,Absolutely love this dress! so cute with booties and a jean jacket. will be a great staple for spring and fall,5,1,0,General,Dresses,Dresses,
10031,1081,20,,"Absolutely love this dress!! this was my first purchase from this site and as per the usual, i was worried about the sizing but the fit couldn't be better. definitely won't be the last. material is heavenly and has a double layering that was a nice surprise. very warm and soft. high quality stuff. i could have gotten my usual size in petite, but i didn't want it to be too short. i'm glad i did. this is the perfect dress for work.",5,1,0,General Petite,Dresses,Dresses,
1871,1094,39,Exquisite,"Absolutely love this dress. i saw it online and didn't give it much thought and then saw it in the store and it was amazing. the photos really do not do it justice. the embroarding detail at the bottom is beyond beautiful in person. i agree that if you don't want skin showing you will need a black bra or black cami to over the delegate lace down the front and back of the dress. got this for fall/winter in fl and cannot wait to wear it, perfect holiday party dress!",5,1,0,General,Dresses,Dresses,
8948,1077,56,Perfect summer dress,"Absolutely love this dress. it is perfect for the summer. yes it wrinkles but that does not take away from how cute the dress is. the style is so unique, love the pleats. i am 146lbs, 5'6"" 36dd and the size 8 fits perfectly. not tight through the arms holes or the bust area. the dress hangs perfectly, you can dress it up or where it to run errands.",5,1,1,General,Dresses,Dresses,
21144,1094,34,Dotted fleur dress - black,"Absolutely love this dress. maeve dresses have always been constructed with great care and quality. i am and always have been a size med in maeve dresses. the dress is soft and flowing. the fabric is very forgiving and moves with you. i recommend trying on a dress by this maker . . . their cuts are consistent, so i feel extremely confident in buying their clothes online. this is a keeper and can be worn year round.",5,1,0,General Petite,Dresses,Dresses,
12965,829,62,Beautiful!,Absolutely love this in blue. the cut and fit are flowy while still having a flattering shape. the colors and pattern are accurate on screen - vibrant and rich. the tie front is a pretty detail allowing the top to feel a little dressy. very happy with this purchase!,5,1,1,General Petite,Tops,Blouses,
8534,964,62,Amazing!,"Absolutely love this jacket - soft, nice amount of stretch, and the fit is beautiful. i'm 5'7"" with a long torso and was happy with the length on this too (motos are sometimes tricky for me). totally cute and versatile - worth full price!",5,1,0,General Petite,Jackets,Jackets,
9138,984,31,Everyone needs one!,Absolutely love this jacket!! i convinced my girlfriend to get one too, we could not be more pleased. slightly oversized throughout the body - this is true no matter the size you buy - with great contrasting sleeves and back. the side ribbons can be adjusted to bring in or let out the waist. perfect spring/summer weight. can be worn with a sweater/sweatshirt underneath. it's a feminine takeover of a boyfriend jacket - looks gorgeous over a casual dress or great with jeans/chinos. perfect for mus,5,1,4,General Petite,Jackets,Jackets
3326,984,46,Drapes beautifully!,"Absolutely love this jacket.initially wanted to buy the melita draped jacket, which looks similar to this one, and tried them both on in store. the latter just didn't drape properly and looked more like a bathrobe on me, but this piece is amazing! it falls nicely and the pockets jut out a bit giving it a unique look. the fabric is fluid and soft and it has a tie waist with another tie in the back of the jacket,middle bottom, which is a bit of an added but subtle flair, the color is a bit more 't",5,1,1,General,Jackets,Jackets,
8401,1054,28,Beautiful jumpsuit,"Absolutely love this jumpsuit. i am 5'2''/103lbs and the xs fits perfectly (i am typically an xs/00). when i read previous reviews i was quite excited to read that most people found it to be ""short waisted""-- the waist band actually hits my natural waist (just how it is pictured on the model), which never happens! great quality, thick fabric and the pleats in the front are beautiful. can't wait to wear it!",5,1,0,General,Bottoms,Pants,
13774,1078,46,Call me infatuated...,"Absolutely love this little shift!!! i bought it on a whim really. it just harkened back to my crushed velvet loving days of the 80's! crushed velvet then was just something fuzzy that had been run over by a car and maybe thrown up on a few times at a punk rock bar :-) this is not that sort of velvet. it's also not some cheap polyester looking knock-off of true velvet. i always find those to have a somewhat ""plastic"" sheen to them. that is exactly what i was worried about judging from the pictur",5,1,0,General,Dresses,Dresses,
13508,1053,26,Favorite new piece,"Absolutely love this piece! 5'6 and 120 lbs and ordered a small, fits perfectly. this jumpsuit has become a regular in my outfit rotation, i get compliments every time i wear it.",5,1,0,General Petite,Bottoms,Pants,
23426,854,27,Love love love...just really sheer,Absolutely love this shirt - the embroidery on the front is beautiful. gold and silver metallic thread with good quality. very slim fit through the torso with loose sleeves. the only downside is the cream material is very sheer - definitely have to wear a tank underneath.,4,1,0,General Petite,Tops,Knits,
3142,835,42,,Absolutely love this shirt. i purchased this in the black and blue. perfect for holiday parties.,5,1,0,General Petite,Tops,Blouses,
19101,1015,48,Gorgeous skirt,Absolutely love this skirt. it is well made and fits as normal. i love the fact that it can be dressed up or down.,5,1,0,General,Bottoms,Skirts,
1039,1172,25,,"Absolutely love this suit. the bottoms are very comfortable and covers everything id like it to. it does not ride up at all, which almost never happens with swim suits. i'm going to order this in a different color next season. i paired the bottoms with the peplum top and received many compliments.",5,1,0,Initmates,Intimate,Swim,
21589,936,48,"Soft, cozy and stylish!","Absolutely love this sweater because it is so pretty while being soft and comfortable. i am 5'4"" and purchased the small?it falls a little below my hips. while the color matches everything, the pockets and details add a nice touch and the longer sleeves are cozy. the only drawback is it pills and sheds.",5,1,0,General Petite,Tops,Sweaters,
18812,862,35,Classy cowlneck,Absolutely love this sweater! it is a tad bit large. i bought it in a medium but because i like the loose fit i will keep it. it is very light and great for the summer. i've only worn it once so far and received many compliments on it. great quality as well!,5,1,0,General Petite,Tops,Knits,
17520,868,53,,"Absolutely love this top, it falls perfect in all the right places. i've gotten so many compliments especially from the bow design on the back.",5,1,2,General,Tops,Knits,
18427,876,28,Gorgeous top! perfect for summer!,"Absolutely love this top! i've been on the lookout for a cute cotton top, something that'd be ideal for summertime. this beautiful piece doesn't disappoint. the color pairing - white cotton base and lovely red thread embroidery - looks stunning. not the mention the unique back detailing makes it a must-have. highly recommend.",5,1,1,General,Tops,Knits,
7538,825,34,Beautiful and comfortable,"Absolutely love this top! yes it runs big and is flowy but i think it is very flattering, especially with skinny jeans. loved it so much i bought the navy and wine colors for myself and the green for my mom. for reference i'm 5'7"" 115 lbs (33-25-33) and the xs fit well (falls just above my mid thigh).",5,1,0,General,Tops,Blouses,
5750,819,66,Add me to the list,Absolutely love this top. followed reviewer advice to size down and got the medium. good choice and probably could have gotten a small. love the fabric and pattern. it's so light and pretty. love the marriage of bare shoulders with sleeves.,5,1,2,General Petite,Tops,Blouses,
11535,867,65,Comfy,"Absolutely love this top. it can be worn with jeans or a nice pair of pants. material is so soft.. love the length , little longer in the back. definitely would buy in another color",5,1,0,General,Tops,Knits,
1330,836,39,,"Absolutely love this top. it is beautiful, well made and so unique.",5,1,9,General,Tops,Blouses,
1578,1078,65,,"Absolutely love, love this dress. it is so comfortable and falls perfectly. the material is great and you can dress it up or wear it casually. if it had more colors, i would get it it in any color it came in!!",5,1,2,General Petite,Dresses,Dresses,
15323,916,40,Love! right brand?,"Absolutely love! as others have mentioned, it's super comfy and the colors in the bottom definitely brighten up the sweater. the online brand says monogram, but the tag says sleeping on snow....weird.",5,1,1,General,Tops,Fine gauge,
19408,834,42,Perfect all occasion top,"Absolutely love! wear it with suits, jeans...anything. the orange color is super unique and the lace is so pretty and seems like it will hold up over time. so glad i purchased!!!!",4,1,0,General Petite,Tops,Blouses,
8730,836,46,Loved it but it ran. . .,"Absolutely loved this top but after i washed it the underside color ran at the stitching. it is all white on the outside but at the bottom hem it has a really cool 1"" lining in a mustard color. i did a cold water wash and flat to dry. i noticed around the stitching at the bottom the mustard color has bled through just at the area of the mustard color stitching. 



i am so disappointed b/c i loved this top.",1,0,2,General,Tops,Blouses,
14389,1094,42,Lovely,"Absolutely lovely dress, in a gorgeous color, drapes well. the perfect blend of pretty and sexy. so much more beautiful in person!",5,1,0,General Petite,Dresses,Dresses,
17032,1086,56,Perfection,"Absolutely lovely! even better in real life. this is not your typical cheap, flimsy dress. this is quality! the fabric is interesting, the color is gorgeous and the styling is flattering. pay attention to the length ? there are miles of fabric in that fortuny-esque skirt and the model is very tall. i am 5'5"" and slim, and ordered petite small, and it's a little longer on me than it is on the model. i don't mind. i've been looking for a special-occasion dress for a long time and knew this was it",5,1,3,General Petite,Dresses,Dresses,
10209,936,38,Stunning!!,"Absolutely perfect and worth every penny! i am 5'8"" and normally between a 4 and 6 in jackets. while the small fit, i ended up purchasing a medium so i had more room in the arms. insanely comfortable and truly stunning on. expect compliments when you are wearing it!",5,1,0,General,Tops,Sweaters,
19077,452,62,Terrace robe,"Absolutely perfect for summer. great weight, lovely soft lining. love pockets in any robe. sleeve length is perfect. actually flattering, if you consider robes such a thing. i love it!",5,1,1,Initmates,Intimate,Sleep,
5664,828,34,,Absolutely perfect staple top to have in your wardrobe. fits very nicely. not see through at all. highly recommend this top.,5,1,0,General,Tops,Blouses,
19788,1096,28,Stunning but not tts,Absolutely stinning dress! statement piece for sure however i will agree with other reviews that the bust is small and has no give or wiggle room with the side zipper...one if those dreaded side zippers that you always fear breaking as you dress. sizing up would help but the waist then appears too big or bulky.. i am on the fence about whether or not it's a keeper ...definitely perfect for the smaller chested. i usually wear xs size 2/4 the 6 zipped the 4 nearly did but would've smashed. neverth,3,1,0,General,Dresses,Dresses,
9066,830,39,Lovely in lace,"Absolutely stunning design with the eyelet lace top!  it's a very romantic, comfortable top that has a flattering fit. i'm so glad that it has lining so i don't need to be concerned about exposing myself to anyone.  it has a light fabric so it's very comfortable in the summer heat and humidity in florida.",5,1,1,General,Tops,Blouses,
15480,1082,25,Perfect.,Absolutely stunning dress. true to size and flows like a dream.,5,1,1,General Petite,Dresses,Dresses,
17007,820,47,,"Absolutely stunning top! love! what a great buy on sale! i wear a medium/large and purchased the size 12...fits perfect! beware that the bottom has somewhat of a flair! the material is light so i would say this top is something to be worn transitioning between seasons, late summer to fall!",5,1,0,General,Tops,Blouses,
12448,823,58,Stunning perfection,"Absolutely stunning. the color, the pattern, the quality. i love everything about this top.",5,1,0,General Petite,Tops,Blouses,
0,767,33,,Absolutely wonderful - silky and sexy and comfortable,4,1,0,Initmates,Intimate,Intimates,
3266,1033,33,Absolutely wonderful.,Absolutely wonderful! they fit like a dream. you could dress them up or down. i'll probably live in these jeans forever.,5,1,0,General Petite,Bottoms,Jeans,
6069,1110,37,"Cute dress, but do not wash! dry clean only.","According to the label, this dress can be hand washed or dry cleaned. i hand washed and line dried per the instructions on the label, and all the seams have completely shrunk and gathered. it looks like there's a drawstring running through every seam. so disappointed in the quality and the labeling. awful! i gave it one extra star because it's cute.",2,0,3,General Petite,Dresses,Dresses,
17116,829,46,Size up!,"According to the sizing chart i should be an 8 or 10. i ordered a 10, but i could not get the blouse zipped up around the ribcage, the one spot i don't keep any fat. i brought it to the store to exchange for a 12, but i couldn't breath with the 12 on. for reference i am 34ddd. it was the 34 part that didn't fit, the ddd would have fit fine, i think.",3,1,2,General Petite,Tops,Blouses,
20168,520,54,Fun tshirt design,"Actually you would think just another tshirt but actually with the wide straps it changes it up enough to really be cute.  i like the look it adds.  i really want to get more colors.   i normally wear everything from retailer in small , and even though this fit it was small for a small.  i will keep it but i think i will buy others in medium.",4,1,10,Initmates,Intimate,Layering,
17501,1081,24,,Added this dress to my summer wardrobe in the rust color. it's a very relaxed dress. easy to throw on. as others have suggested in going to add a belt to this to add a little more flair. but i love this designer. but it does run large. sizing down helps immensely.,5,1,0,General Petite,Dresses,Dresses,
17518,1081,38,"Perfect, comfy, feminine summer dress!","Admittedly, i ignored this dress on a few trips to my local retailer and then it went on sale, practically begging me to give it attention. i tried it on and fell in love! so feminine, light, and comfortable. 

it has a sort of roman/boho goddess vibe due to the billowy top, especially in the lighter greige with some sea-hued accessories added but not so much it feels like cosplay or something. i have a full bust (dd) and didn't find this dress to be unflattering. after wearing it to a party, i ac",5,1,4,General Petite,Dresses,Dresses,
8626,774,39,??this,"Adorable & comfortable. i'm 5'3"" and 115 lbs and ordered an xs. it hits at my knees & is loose fitting, but not tent like.",5,1,9,Initmates,Intimate,Lounge,
3879,1081,39,??this,"Adorable & comfortable. i'm 5'3"" and 115 lbs. i ordered an xs. it hits at my knees and is not see through. the color is pinkish in person which i like more than the photo.",5,1,1,General Petite,Dresses,Dresses,
14681,1072,39,??this,"Adorable & comfortable. i'm 5'3"", 115 lbs, and ordered an xs.",5,1,0,General,Dresses,Dresses,
20711,945,64,Love but itchy for me,"Adorable & unique swtr & wld go w/ many things. note that 1 front pocket is slightly higher than the other. looks that way in the pic too. it's the ""retailer unique touch"". i don't mind abt that. it's too itchy for me. i ordered the sp to have shorter arms-fell just above my knuckles which is fine. i have many t-necks to wear under it but i decided i really didn't need another itchy swtr, so returned. no worry, retailer has plenty of other items of interest!",5,1,0,General,Tops,Sweaters,
1887,1059,39,Great day/night pants,Adorable and amazing quality. true to size. i ordered a 6 and fit perfect.,5,1,0,General Petite,Bottoms,Pants,
11463,1072,39,,Adorable denim dress! fabric is lighter than i imagined but is very flattering. perfect length. this is not a form fitting dress at all so if you're going for that pass on the dress or possibly order a size down.,5,1,0,General,Dresses,Dresses,
23027,1084,38,,"Adorable dress, amazing fit!",5,1,0,General,Dresses,Dresses,
1772,1095,35,Size up!,Adorable dress. could hardly get the zipper up in my very typical size 4. i will order a 6 and am hoping it will work out!,5,1,0,General Petite,Dresses,Dresses,
14826,1110,35,Adorable design. sizing off,"Adorable fall dress. but it runs huge -- i'm an hourglass 8 or 10 usually and the 6 fit best in the top and full skirt (36d, 30 waist) but sadly each size the sleeves get like 2 inches shorter. since these are blouses sleeves they look off. so sad bc this dress is adorable otherwise. if you always find sleeves too long for you, snap up this gem, this is for you!",4,0,0,General,Dresses,Dresses,
8201,820,51,Cool for the summer,"Adorable fit. the lightweight madras fabric will be perfect for a hot summer day but not see-through. the slightly gathered bottom makes gives my petite frame a taller look. easy to wear, not fussy, no special bra needed.",5,1,0,General Petite,Tops,Blouses,
1701,225,38,I wanted to love them,"Adorable foxes, i was smitten in the store but the fix is bizarre and the foxes don't come up very high so you're limited in the length you can wear. i bought the m/l based on salesperson advice and i can't imagine trying anything smaller, i usually wear a size s or 4 bottom, these were super snug. back to the store they went.",2,0,0,Initmates,Intimate,Legwear,
15162,984,36,"Adorable, ordering the petite","Adorable jacket. i ordered the medium (5'4, 135 lbs). sleeves are long and have to roll them up. ordering the petite medium to see if it fits better. pink color is great.",5,1,7,General Petite,Jackets,Jackets,
21329,823,31,The perfect white top,"Adorable peasant fitting top.  not too voluminous, just right for over jeans, and really cute with shorts.  the detail makes it wearable for dress up or down, and the cut is classic!",5,1,1,General Petite,Tops,Blouses,
4709,836,38,Loving it,Adorable peplum top! colors are much more rich in person. saw it in the store and stalked it online until it went on sale. beautiful material and craftsmanship. i thought it ran on the large side though wish it was a touch longer but not enough to not purchase. highly recommend....great piece to dress up or down and easily add layers for fall.,5,1,1,General Petite,Tops,Blouses,
17834,278,47,Pretty print!,Adorable print! just picked these up in the store yesterday! the print is so pretty and it caught my eye! surprisingly they fit in my usual size for workout pants!,5,1,1,Initmates,Intimate,Lounge,
10644,771,35,,Adorable romper. the only thing is the sleeves are a little shorter than portrayed in the picture. they come to about mid-forearm on me (and i'm a petite person). still cute but def not if you're looking for a full sleeve.,4,1,0,General Petite,Bottoms,Pants,
23307,1020,60,Cute tensile style jean skirt,"Adorable skirt but fit is definitely too tight like the other reviews before me 

 i am super petite 4 11 105 pounds the double zero and zero were just a little tight for me and a little too long ( both could fit around my waist which is a 24 but high waisted and tight not a fit around the hips)

 if  the length had been above the knee i might have kept  the zero but they were both returned 

 great skirt in the theory  with the wrong  waste fit and length",4,1,5,General,Bottoms,Skirts,
11155,1020,36,Perfect!,"Adorable skirt! thought it would be snug so ordered up, but had to send back and re-order in normal size. fits perfect. found it to be slimming on the backside, yay! :) this will be a wardrobe staple for many years to come!",5,1,3,General,Bottoms,Skirts,
19401,995,36,Cute- runs a little snug on me,"Adorable skirt. the eyelet part on the bottom is cut-out so see through but cute and subtle. found it fit a little snug on me- could just be my build, but i ordered it in normal size and 1 size up. the size up fit best.",5,1,8,General,Bottoms,Skirts,
5317,1020,36,Great wardrobe staple,Adorable skirt. thought the a-line and length were great. 5'4 and 135lbs. went up a size and it fit perfect. can dress it up or down. really happy with this wardrobe staple.  not too stiff denim of so moves well and feels comfortable.,5,1,1,General Petite,Bottoms,Skirts,
6179,880,47,Cute but big!,Adorable soft top for the fall! i wanted to love it because of the colors and the fact that it is so retro! it was just way too big for me. i'm always a medium but in this i probably should have sized down. i still gave it 5 stars because it is so cute--just didn't fit me! sadly i will be returning this!,5,1,1,General,Tops,Knits,
16083,390,31,"Good quality, cute print but not flattering","Adorable suit, super cute print and great quality, but unfortunately not as flattering as other reviewers noted. i found that the white pattern accentuated the wrong areas and the ruffle feature was a bit over-the-top. the straps are also very thin and didn't offer too much support.",3,0,1,Initmates,Intimate,Swim,
10109,863,63,,"Adorable summer top. the geometrical shape makes this top interesting. it looks much better on then in the picture displayed. it's soft , flowing and covers all flaws. the gold color is beautiful and vibrant. i know i will purchase this in other colors. the long back really sets it off. if you are looking for comfort, don't hesitate, this top is perfect.",5,1,3,General,Tops,Knits,
409,936,39,Sweet casual,"Adorable sweater with a loose knit that helps slim down my man-back appearance. cut is tapered to the body but with a soft flare at the bottom hem. not clingy, very soft fabric doesn't accentuate bulges so i am happy about it's forgiving silhouette.",5,1,0,General,Tops,Sweaters,
12723,829,48,Not for me,"Adorable top, but i have to agree with what two other reviewers said... that is is boxy and unflattering. i have a similar patterned top, also by maeve, but the sizing on that runs small, medium, large. the s petite that i have doesn't fit quite the same as the 4 petite in this blouse. this is definitely more ""square"" in the torso, and the ruffles do stick out more - very flouncy. it just made me look frumpy instead of the sexy date night look i was going for. i am 5' and 120 lbs. also, i didn't",3,1,1,General,Tops,Blouses,
17433,832,53,Runs small,"Adorable top, but it runs very small. i usually take a 4, but thought it may shrink up so i ordered a 6. it was a bit tight through the bust (34a), so i sent it back for an 8.",4,1,24,General,Tops,Blouses,
20436,830,51,,"Adorable top! sweet but not too sweet, can go either casual or dressy depending on what it is paired with. i was looking for cropped tops as that silhouette works better for my proportions with the plethora of cropped bottoms that are in stores. as another reviewer mentioned, it is lined so no cami is necessary. the label says dry clean only however, i have washed it in a mesh bag on gentle in cold water and hung to dry without any issues. the dry cleaning warning may be because of the lace on t",5,1,2,General,Tops,Blouses,
20083,866,37,,Adorable with black pants or jeans. covers the part of your arm you might want covered :-),5,1,2,General,Tops,Knits,
774,1110,42,,"Adorable, comfortable dress. the denim is super soft with a bit of stretch. please be advised this dress runs very large, especially through the hips. i normally wear a size 12 and the large was swimming on me. i will definitely be exchanging it for a smaller size.",5,1,29,General Petite,Dresses,Dresses,
12007,602,49,Amoret romper,"Adorable, comfortable piece. runs slightly big.",4,1,0,General,Bottoms,Shorts,
2994,1092,25,Cute in theory,"Adorable, old school retailer; the only gripe i have is trying to get this on. the slip is similar to putting on a straight jacket. once you figure it out, then it's gorgeous. just be careful and lay it out carefully before you pull it over your head.",5,1,6,General,Dresses,Dresses,
10266,858,29,Perfect for spring,"Adorable, true to size and just as pictured. there is no hook and eye clasp as stated but still cute. light weight and will be perfect over dresses and summer tanks. wish there were additional colors. i love the white though.",5,1,0,General Petite,Tops,Knits,
2297,992,25,3-season skirt!,"Adorable, well-made skirt! lined and very slimming. i had to size up b/c it runs a bit snug around the waist. however, it's worth it b/c this will match many long and short sleeve tops!",5,1,4,General,Bottoms,Skirts,
19030,748,45,,"Adorable! great for yoga or everyday use. can even fit a strapless bra under with no showing(i purchased the black). i'm 5'4"", usually a 6-8 and it fit great.",5,1,1,Initmates,Intimate,Intimates,
6038,873,27,Patterned peplum top,"Adorable! very pleased with the quality of the fabric and the very comfortable fit. i'm sure i'll wear this with jeans, as pictured, but can also see it with a breezy summer skirt.",5,1,3,General,Tops,Knits,
217,828,64,Too cute to pass up!,"Adorable... too chilly now to wear alone & too cute to cover it up! my navy parka or jean jacket will prob be ok w/ it though. size 6 fits me perfectly & looks pretty much on me as in the pic. love plaid & cotton blend tops anyways. ruffles - adorable, & i'm not too big on that but do love this look. when i first removed this top from the packaging it had an odd 'smoky'-like odor, but it's the dye i think. after hanging it for a few days the smell disappeared. i have in mind to wear w/ the pilcr",5,1,3,General,Tops,Blouses,
7358,1077,39,,"Adore the bright embroidery against the black background!  mine was well done and no loose threads.  although this is all synthetic fabric (which i hate paying for!) but i couldn't help myself once i tried it on.  it's very roomy and if you're slender, size down unless you prefer the breezy swingy look like i do.  this is a three season dress that will do well with layers and without.  i picked regular hem instead of petite and it actually looks slimmer on me than the shorter version.",5,1,0,General Petite,Dresses,Dresses,
1707,862,36,,"Adore the rust color in this top. very pretty rust color. would go with a lot of stuff. my only small pet peeve with the shirt is the opening under the hook and eye. i have been wearing a seamless tank underneath. but everything else about the blouse fits so perfect, drapes nicely that i think the opening is a minor thing that a tank top can fix. beautiful on. felt that it fit tts. i'm usually a 34b, got an xs in this top.",5,1,3,General,Tops,Knits,
9014,1035,50,Fantastic!,"Adore these jeans! great length, cute cuffed details. could do cartwheels in these :)",5,1,5,General Petite,Bottoms,Jeans,
17006,867,35,Love at first sight!,"Aesthetically pleasing and very well-made. love it! but, does run large.",5,1,1,General,Tops,Knits,
12563,1059,35,"Adorable, comfy, and stylish","After a few months of coveting, i received this jumpsuit as a gift (apparently my longing wasn't too subtle!) and was delighted to find it didn't disappoint at all! the material has a nice weight and falls away from the body, but still is very swingy and light. it is great for our slightly chilly spring, yet i expect it will be fantastic as the weather warms up. i am 5'6"" and usually a 26"" or size 2 in bottoms and an xs or s on top. i got this jumpsuit in an xs and it fits very loosely (much lik",5,1,2,General,Bottoms,Pants,
11759,1079,55,Beautiful and unique,"After a long wait for this dress to come in. i finally received it! the wait was worth it!



the colors and pattern are just like they are online. the length comes right to to the top of my knees...i am 5'7"". a couple of things to note: the sleeves are narrow,. if you have skinny arms, no problem. the fit across the bust is snug enough that if you have a large bust, there will probably be a gap at the buttons. there are gathers at the shoulder giving the sleeve a slight puffed shoulder. if you",5,1,7,General,Dresses,Dresses,
7684,1009,26,Perfect for summer!,"After a rough day at the office, i went into my local retailer to seek out some retail therapy. i stumbled upon this skirt and knew i had to try it on. though it's more than i normally like to spend, it was well worth the price. material is lightweight and comfortable yet substantial enough for work. fit is spot on (i have wider hips and a smaller waist, which typically makes me a size 12 and that's what i bought). the color is a gorgeous mustard yellow that can be paired with all sorts of colors,",5,1,12,General,Bottoms,Skirts,
19151,1025,48,Love these jeans!,"After being tentative to splurge on skinny jeans (i've always been a small flare jean-girl), i am thrilled to say i love these jeans. the rise is perfect in that it ""holds in"" anything you want ""held in"" and makes a slim shirt look even better. i have worn them with booties and regular boots alike and have no complaints. i was unsure of the jean's claim to not stretch out but have been pleasantly surprised at how they have kept their shape...even after sitting for many hours at a time. wash cold",5,1,3,General,Bottoms,Jeans,
15828,974,64,I finally caved!,"After eyeing this online several times, i saw it at my local store. in person it is just so pretty. it does have a romantic look to it. i wasn't looking for it... the sa was wearing it! she is much taller than i & it draped nicely over her denim jeans. says she loves it & just had to have it. well, of course, i was going to try it too! at 5'3"", 117#, it was to my knees in the front, longer in the back. a little on the overwhelming side. love the crinkly fabric, embroidery detail, short sleeves &",5,1,4,General Petite,Jackets,Jackets,
3612,1094,25,"Nice, but not for me.","After eyeing this product online for awhile, i was able to try it on in store. i'm so glad i did, because while this dress is lovely, it is clearly not designed for my body type. i have a small rib cage and a large bust (32h,) which is i think what caused the keyhole to be so gaping on me. additionally, the straps of the dress were up by my neckline instead of lying properly on my shoulders, which was unflattering and left my bra straps clearly visible. the fabric was gorgeous and soft, and the",3,0,2,General,Dresses,Dresses,
22356,316,36,Perfect!,"After having my third child, i was looking for clothes to hide my tummy. i've always loved the comfort of a romper, but the typical cinched waist was never flattering on me. this romper does not disappoint. it hides areas i want hidden, but does so with style. i get numerous compliments whenever i wear this. i cannot say enough wonderful things about this piece!",5,1,1,General,Bottoms,Shorts,
